axlab,farsource,sno,t1int,t1slope,t1bound,t2int,t2slope,t2bound,bshift,closepos,Zclosepos,cond
SP-C,C,SP-C_C1,11.3709276536216,-0.0668519570507964,170.091170928348,17.5520663853469,-0.0899550787848889,195.120349205846,25.0291782774982,25.0291782774982,0.906110665783113,C
SP-C,C,SP-C_C10,643.490304139437,-4.15156951481176,154.999284449803,351.382155939846,-2.06695385846968,170,15.0007155501974,15.0007155501974,0.537988613829676,C
SP-C,C,SP-C_C2,6.94562629453851,-0.0447688050184044,155.144330783079,3.60399674919676,-0.0379852454519336,94.8788590495551,-60.2654717335241,-60.2654717335241,-2.22486189068157,C
SP-C,C,SP-C_C3,26.8704909754791,-0.167940565201055,160.000003235135,7.16654559068329,-0.0552356195156847,129.745002473418,-30.2550007617167,-30.2550007617167,-1.12324577516709,C
SP-C,C,SP-C_C4,23.5116785848373,-0.167940565201055,139.999996764865,441.814736655075,-2.00824880297761,220,80.000003235135,80.000003235135,2.92396459127953,C
SP-C,C,SP-C_C5,26.8704909754791,-0.167940565201055,160.000003235135,7.57149139199426,-0.0404587697832282,187.14091981939,27.1409165842551,27.1409165842551,0.98362777481676,C
SP-C,C,SP-C_C6,7.70283967589858,-0.0480777630629219,160.21626600675,8.19470742063788,-0.0565334463476645,144.953261300271,-15.2630047064785,-15.2630047064785,-0.572923706789864,C
SP-C,C,SP-C_C8,15.0959745910515,-0.0914871227035227,165.006551140232,16.2991194023074,-0.101868592289686,160.001419828765,-5.00513131146658,-5.00513131146658,-0.196380511134322,C
SP-C,C,SP-C_C9,8.37005065201719,-0.0558003376801147,150,10.5901057450617,-0.0882767855044144,119.964786716573,-30.0352132834272,-30.0352132834272,-1.11517787685588,C
SP-C,L,SP-C_L1,31.2472617663258,-0.189377342661551,165.000001199562,18.4824177381831,-0.123216118254554,150,-15.000001199562,-15.000001199562,-0.563269446384281,E
SP-C,L,SP-C_L10,11.0009739576979,-0.0814984038451308,134.98391917715,7.59561917694741,-0.0585135468070014,129.809584129304,-5.17433504784631,-5.17433504784631,-0.202591595358101,E
SP-C,L,SP-C_L2,15.0604346729849,-0.0885835869900022,170.013827445085,26.8704909754791,-0.167940565201055,160.000003235135,-10.01382420995,-10.01382420995,-0.380238232654777,E
SP-C,L,SP-C_L3,601.98055036555,-4.15156951508991,145.000715555286,8.19470742063787,-0.0565334463476645,144.953261300271,-0.0474542550150829,-0.0474542550150829,-0.0143954651137526,E
SP-C,L,SP-C_L4,9.42995654383682,-0.0589085772423814,160.077818634746,2.58850835503462,-0.0107898722037286,239.901669469276,79.8238508345309,79.8238508345309,2.9174984374003,E
SP-C,L,SP-C_L5,311.533714192269,-2.07689142794846,150,4.17876898886174,-0.0313423745611951,133.326496392378,-16.6735036076219,-16.6735036076219,-0.624699912564001,E
SP-C,L,SP-C_L6,11.8323644861629,-0.0816049330616187,144.995701145033,8.46097778649243,-0.0528355852401332,160.13786443432,15.1421632892869,15.1421632892869,0.543180838537863,E
SP-C,L,SP-C_L7,268.704001600352,-2.06695385846424,130,7.37061226575844,-0.0590854122963263,124.745042461466,-5.25495753853407,-5.25495753853407,-0.205551063574977,E
SP-C,L,SP-C_L8,5.95582841948315,-0.0335650937685833,177.441137526562,9.84787810953319,-0.0596417733545243,165.117124385205,-12.3240131413575,-12.3240131413575,-0.465040012643913,E
SP-C,L,SP-C_L9,20.9420078942,-0.12318774863,170.000735682736,18.9961992141667,-0.131008305989529,144.999960656578,-25.0007750261577,-25.0007750261577,-0.930375101785119,E
SP-C,R,SP-C_R1,15.9802724204865,-0.0913066794540467,175.01756186993,3.36274748499326,-0.0171693883885226,195.857150464439,20.8395885945086,-20.8395885945086,-0.777627414583835,E
SP-C,R,SP-C_R10,29.3535150612382,-0.189377516336098,155.000000153888,9.28401366338563,-0.0598837447393601,155.033952933199,0.0339527793105106,-0.0339527793105106,-0.0138998566565126,E
SP-C,R,SP-C_R2,7.91531800367352,-0.0510405470328826,155.079019795265,9.84787810953318,-0.0596417733545243,165.117124385205,10.0381045899404,-10.0381045899404,-0.381129510166328,E
SP-C,R,SP-C_R3,7.57188620164972,-0.0504792413443315,150,4.14340802135873,-0.0255840892527466,161.95253152949,11.9525315294901,-11.9525315294901,-0.451403767793415,E
SP-C,R,SP-C_R4,290.397895167406,-2.07427067976718,140,5.70998172493127,-0.0409108160335415,139.571445366669,-0.428554633331174,0.428554633331174,0.00307773825659709,E
SP-C,R,SP-C_R5,14.1946057429898,-0.0887136172709111,160.004813011318,7.23590860650455,-0.0482393907100303,150,-10.0048130113181,10.0048130113181,0.354600397312204,E
SP-C,R,SP-C_R6,24.2137579068628,-0.130883219937253,185.002767493581,794.67177308683,-4.0753468277898,194.994881826489,9.9921143329083,-9.9921143329083,-0.379441312458573,E
SP-C,R,SP-C_R7,15.3950596423355,-0.10617313003232,144.999583582486,25.1911268511384,-0.167940845674256,150,5.00041641751434,-5.00041641751434,-0.196207438103725,E
SP-C,R,SP-C_R8,601.98055036555,-4.15156951508991,145.000715555286,10.0870919657376,-0.0672472797715843,150,4.99928444471371,-4.99928444471371,-0.196165885957453,E
SP-C,R,SP-C_R9,268.704001600352,-2.06695385846424,130,601.98055036555,-4.15156951508991,145.000715555286,15.0007155552863,-15.0007155552863,-0.56329566875776,E
SP-R,L,SP-R_L1,-16.4568793673606,0.10617313003232,155.000416417514,-16.2991194023074,0.101868592289686,160.001419828765,5.00100341125088,5.00100341125088,0.1709219305671,E
SP-R,L,SP-R_L10,-14.1910942653869,0.0915544604154137,155.001670055147,-29.3535150612383,0.189377516336099,155.000000153888,-0.00166990125859456,-0.00166990125859456,-0.0127148256468164,E
SP-R,L,SP-R_L2,-5.1189786843508,0.0381630314119356,134.13448814105,-6.17260275315358,0.044188848294764,139.686889144042,5.5524010029917,5.5524010029917,0.191162481729666,E
SP-R,L,SP-R_L3,-11.0521737254308,0.0630898648384097,175.181445605223,-11.9328654302101,0.0662208737109926,180.19794607798,5.01650047275649,5.01650047275649,0.171490792439136,E
SP-R,L,SP-R_L4,-31.2472617663259,0.189377342661551,165.000001199562,-15.8929299062626,0.0882767855044145,180.035213283427,15.0352120838651,15.0352120838651,0.53925490310096,E
SP-R,L,SP-R_L6,-28.5496149443973,0.167938893701524,170.000017953781,-12.7256368880822,0.0795296073199929,160.011312980331,-9.98870497345021,-9.98870497345021,-0.379316162629164,E
SP-R,L,SP-R_L7,-30.2275923613445,0.167930978698925,180.000096441634,-16.2991194023074,0.101868592289686,160.001419828765,-19.9986766128687,-19.9986766128687,-0.74675944881369,E
SP-R,L,SP-R_L8,-12.7969860500141,0.0654311446099632,195.579431267744,-16.4568793673605,0.10617313003232,155.000416417514,-40.5790148502299,-40.5790148502299,-1.5022168452109,E
SP-R,L,SP-R_L9,-15.283011112271,0.101886740748473,150,-14.2182727046045,0.0812286985157685,175.040016206149,25.0400162061487,25.0400162061487,0.90650850148757,E
SP-R,R,SP-R_R1,-35.0335083454477,0.189370260960197,185.00005316469,-9.21221663507237,0.0737415653161587,124.925699577654,-60.0743535870363,60.0743535870363,2.19253932357675,E
SP-R,R,SP-R_R2,-29.3535150612383,0.189377516336099,155.000000153888,-8.78449356073265,0.0500381199083958,175.556027620828,20.5560274669402,-20.5560274669402,-0.767218530692736,E
SP-R,R,SP-R_R3,-18.4824177381831,0.123216118254554,150,-12.6185501855502,0.0627926341193829,200.955898132247,50.9558981322474,-50.9558981322474,-1.88312862307078,E
SP-R,R,SP-R_R4,-9.29810476484337,0.0514677765221784,180.658761523079,-5.91819079725439,0.0356296050981231,166.103182478611,-14.555579044468,14.555579044468,0.521648665390481,E
SP-R,R,SP-R_R5,-16.4568793673605,0.10617313003232,155.000416417514,-6.24598863677272,0.0308709300162695,202.325897972008,47.3254815544931,-47.3254815544931,-1.74986428970386,E
SP-R,R,SP-R_R6,-10.0319932426384,0.0626785582785354,160.054626624587,-17.3061828815675,0.101798397751512,170.00447220998,9.94984558539332,-9.94984558539332,-0.377889722898754,E
SP-R,R,SP-R_R7,-11.9376633871622,0.0795844225810812,150,-351.382155938842,2.06695385846377,170,20,-20,-0.746808027344574,E
SP-R,R,SP-R_R8,-15.3950596423355,0.10617313003232,144.999583582486,-3.66726087125913,0.0288620181876574,127.061830791424,-17.9377527910615,17.9377527910615,0.645800569178248,E
SP-R,R,SP-R_R9,-9.89053910512216,0.063800306900026,155.023378188767,-23.6720354711464,0.189376295885704,124.999992002343,-30.0233861864239,30.0233861864239,1.08943667629028,E
SP-R,C,SP-R_C1,-15.3950596423355,0.10617313003232,144.999583582486,-17.3061828815675,0.101798397751512,170.00447220998,25.0048886274946,25.0048886274946,0.905219047990465,C
SP-R,C,SP-R_C2,-290.397895167276,2.07427067976626,140,-8.26360642215514,0.0473086637055533,174.674272636137,34.6742726361369,34.6742726361369,1.2601601370865,C
SP-R,C,SP-R_C3,-6.83511739506648,0.0507305339407168,134.733795687109,-6.16478136824589,0.0410985424549726,150,15.266204312891,15.266204312891,0.547734102320878,C
SP-R,C,SP-R_C4,-21.6151227587832,0.131000588444159,165.000195918944,-370.142293049818,2.05634607249899,180,14.9998040810557,14.9998040810557,0.537955155871078,C
SP-R,C,SP-R_C5,-30.2275923613444,0.167930978698925,180.000096441634,-3.62463068161339,0.0231988138804548,156.242069111437,-23.7580273301966,-23.7580273301966,-0.884756661119016,C
SP-R,C,SP-R_C6,-11.9376633871622,0.0795844225810813,150,-7.23797383600389,0.0466603908100135,155.120300330845,5.12030033084486,5.12030033084486,0.175301049084747,C
SP-R,C,SP-R_C7,-29.3535150612383,0.189377516336099,155.000000153888,-15.3950596423355,0.10617313003232,144.999583582486,-10.0004165714024,-10.0004165714024,-0.379746068746089,C
SP-R,C,SP-R_C8,-15.0604346729849,0.0885835869900022,170.013827445085,-11.3709276536216,0.0668519570507964,170.091170928348,0.0773434832632063,0.0773434832632063,-0.00981442405657384,C
SP-R,C,SP-R_C9,-15.0959745910515,0.0914871227035227,165.006551140232,-830.500110233388,4.05135827490896,204.993005772132,39.9864546319002,39.9864546319002,1.45515825293001,C
SP-R,C,SP-R_C10,-28.5496149443973,0.167938893701524,170.000017953781,-758.493767015075,4.10005521692759,184.995988318289,14.9959703645075,14.9959703645075,0.537814428858304,C
